Algorithm Name,Best Score,Num Objective Calls,Num Hash Calls,Total Time (ms),Iterations,Restarts
Sequential Memetic,0.50023,1000302,1026404352,265282,1667,0
Many Sequential Memetic,0.499936,1001002,1027121152,148092,1668,0
Parallel Memetic,0.499711,1000302,1026404352,197705,1667,0
Parallel Random Walk,0.49977,1000002,1026097152,144430,9999,0
