Algorithm Name,Best Score,Num Objective Calls,Num Hash Calls,Total Time (ms),Iterations,Restarts
Sequential Memetic,0.157821,1030002,1056817152,142158,17,0
Many Sequential Memetic,0.158155,1560012,1610022912,37433,24,0
Parallel Memetic,0.157868,1030002,1056817152,37610,17,0
Parallel Random Walk,0.269332,1000002,1026097152,38534,99,0
