Algorithm Name,Best Score,Num Objective Calls,Num Hash Calls,Total Time (ms),Iterations,Restarts
Sequential Memetic,0.500386,1030002,1056817152,261360,17,0
Many Sequential Memetic,0.499649,1560012,1610022912,70016,24,0
Parallel Memetic,0.500113,1030002,1056817152,58882,17,0
Parallel Random Walk,0.499748,1000002,1026097152,64600,99,0
