File Name,Objective Function Calls,Threads,Algorithm Name,Iteration,Best Score,Num Objective Calls,Num Hash Calls,Total Time (ms),Iterations,Restarts
random_64_24,10,12,Many Sequential Memetic,0,0.4079,1000452,1037033472,22974,16672,0
random_64_24,10,12,Many Sequential Memetic,1,0.408247,1000392,1036972032,22325,16671,0
random_64_24,10,12,Many Sequential Memetic,2,0.158163,1000392,1036972032,22650,16671,0
random_64_24,10,12,Parallel Memetic,0,0.407934,1000032,1026127872,46137,16667,0
random_64_24,10,12,Parallel Memetic,1,0.407959,1000032,1026127872,44286,16667,0
random_64_24,10,12,Parallel Memetic,2,0.157844,1000032,1026127872,42992,16667,0
random_64_24,10,12,Parallel Random Walk,0,0.407906,1000002,1026097152,48268,99999,0
random_64_24,10,12,Parallel Random Walk,1,0.407906,1000002,1026097152,47221,99999,0
random_64_24,10,12,Parallel Random Walk,2,0.407906,1000002,1026097152,46874,99999,0
random_64_24,10,12,Sequential Memetic,0,0.157695,1000032,1026127872,134712,16667,0
random_64_24,10,12,Sequential Memetic,1,0.158363,1000032,1026127872,131543,16667,0
random_64_24,10,12,Sequential Memetic,2,0.15853,1000032,1026127872,131519,16667,0
random_64_24,10,2,Many Sequential Memetic,0,0.157891,1000102,1026199552,76631,16668,0
random_64_24,10,2,Many Sequential Memetic,1,0.408198,1000042,1026138112,77886,16667,0
random_64_24,10,2,Many Sequential Memetic,2,0.158073,1000042,1026138112,78597,16667,0
random_64_24,10,2,Parallel Memetic,0,0.408006,1000032,1026127872,84675,16667,0
random_64_24,10,2,Parallel Memetic,1,0.157743,1000032,1026127872,92562,16667,0
random_64_24,10,2,Parallel Memetic,2,0.158513,1000032,1026127872,89570,16667,0
random_64_24,10,2,Parallel Random Walk,0,0.314302,1000002,1026097152,92262,99999,0
random_64_24,10,2,Parallel Random Walk,1,0.269221,1000002,1026097152,99021,99999,0
random_64_24,10,2,Parallel Random Walk,2,0.269221,1000002,1026097152,99313,99999,0
random_64_24,10,2,Sequential Memetic,0,0.157778,1000032,1026127872,121357,16667,0
random_64_24,10,2,Sequential Memetic,1,0.158344,1000032,1026127872,116231,16667,0
random_64_24,10,2,Sequential Memetic,2,0.157734,1000032,1026127872,137713,16667,0
random_64_24,10,6,Many Sequential Memetic,0,0.408006,1000146,1030434816,31718,16668,0
random_64_24,10,6,Many Sequential Memetic,1,0.407966,1000206,1030496256,31829,16669,0
random_64_24,10,6,Many Sequential Memetic,2,0.157985,1000206,1030496256,32209,16669,0
random_64_24,10,6,Parallel Memetic,0,0.408099,1000032,1026127872,48734,16667,0
random_64_24,10,6,Parallel Memetic,1,0.157824,1000032,1026127872,49070,16667,0
random_64_24,10,6,Parallel Memetic,2,0.40799,1000032,1026127872,49375,16667,0
random_64_24,10,6,Parallel Random Walk,0,0.407906,1000002,1026097152,61850,99999,0
random_64_24,10,6,Parallel Random Walk,1,0.340197,1000002,1026097152,61793,99999,0
random_64_24,10,6,Parallel Random Walk,2,0.314302,1000002,1026097152,62113,99999,0
random_64_24,10,6,Sequential Memetic,0,0.157947,1000032,1026127872,134991,16667,0
random_64_24,10,6,Sequential Memetic,1,0.408022,1000032,1026127872,134961,16667,0
random_64_24,10,6,Sequential Memetic,2,0.15776,1000032,1026127872,138903,16667,0
random_64_24,100,12,Many Sequential Memetic,0,0.158049,1003212,1039859712,22100,1670,0
random_64_24,100,12,Many Sequential Memetic,1,0.158178,1003812,1040474112,21983,1671,0
random_64_24,100,12,Many Sequential Memetic,2,0.158089,1004412,1041088512,22734,1672,0
random_64_24,100,12,Parallel Memetic,0,0.157951,1000302,1026404352,36039,1667,0
random_64_24,100,12,Parallel Memetic,1,0.157926,1000302,1026404352,36164,1667,0
random_64_24,100,12,Parallel Memetic,2,0.158101,1000302,1026404352,40308,1667,0
random_64_24,100,12,Parallel Random Walk,0,0.269327,1000002,1026097152,40236,9999,0
