File Name,Objective Function Calls Min,Objective Function Calls Mean,Objective Function Calls Max,Threads Min,Threads Mean,Threads Max,Algorithm Name,Iteration Min,Iteration Mean,Iteration Max,Best Score Min,Best Score Mean,Best Score Max,Num Objective Calls Min,Num Objective Calls Mean,Num Objective Calls Max,Num Hash Calls Min,Num Hash Calls Mean,Num Hash Calls Max,Total Time (ms) Min,Total Time (ms) Mean,Total Time (ms) Max,Iterations Min,Iterations Mean,Iterations Max,Restarts Min,Restarts Mean,Restarts Max
sha2_16,10000.0,10000.0,10000.0,12.0,12.0,12.0,Sequential Memetic,0.0,1.0,2.0,0.501999,0.501999,0.501999,1030002.0,1030002.0,1030002.0,1054851072.0,1054851072.0,1054851072.0,71526.0,71603.0,71646.0,17.0,17.0,17.0,0.0,0.0,0.0
xor_16,10000.0,10000.0,10000.0,12.0,12.0,12.0,Many Sequential Memetic,0.0,1.0,2.0,0.499954,0.4999743333333333,0.5,1560012.0,1560012.0,1560012.0,1598226432.0,1598226432.0,1598226432.0,26970.0,28575.666666666668,29698.0,24.0,24.0,24.0,0.0,0.0,0.0
xor_16,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Memetic,0.0,1.0,2.0,0.499954,0.4999743333333333,0.5,1030002.0,1030002.0,1030002.0,1054851072.0,1054851072.0,1054851072.0,30314.0,30535.666666666668,30813.0,17.0,17.0,17.0,0.0,0.0,0.0
xor_16,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Random Walk,0.0,1.0,2.0,0.5,0.5,0.5,1000002.0,1000002.0,1000002.0,1024131072.0,1024131072.0,1024131072.0,28334.0,28869.333333333332,29347.0,99.0,99.0,99.0,0.0,0.0,0.0
xor_16,10000.0,10000.0,10000.0,12.0,12.0,12.0,Sequential Memetic,0.0,1.0,2.0,0.5,0.5,0.5,1030002.0,1030002.0,1030002.0,1054851072.0,1054851072.0,1054851072.0,64228.0,65213.666666666664,65857.0,17.0,17.0,17.0,0.0,0.0,0.0
xor_64,10000.0,10000.0,10000.0,12.0,12.0,12.0,Many Sequential Memetic,0.0,1.0,2.0,0.499768,0.4999206666666667,0.500216,1560012.0,1560012.0,1560012.0,1610022912.0,1610022912.0,1610022912.0,70186.0,70449.66666666667,70788.0,24.0,24.0,24.0,0.0,0.0,0.0
xor_64,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Memetic,0.0,1.0,2.0,0.499623,0.499693,0.499744,1030002.0,1030002.0,1030002.0,1056817152.0,1056817152.0,1056817152.0,58453.0,59966.0,61168.0,17.0,17.0,17.0,0.0,0.0,0.0
xor_64,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Random Walk,0.0,1.0,2.0,0.499762,0.4997726666666667,0.499779,1000002.0,1000002.0,1000002.0,1026097152.0,1026097152.0,1026097152.0,62859.0,64547.0,65484.0,99.0,99.0,99.0,0.0,0.0,0.0
xor_64,10000.0,10000.0,10000.0,12.0,12.0,12.0,Sequential Memetic,0.0,1.0,2.0,0.499792,0.49998000000000004,0.50023,1030002.0,1030002.0,1030002.0,1056817152.0,1056817152.0,1056817152.0,256602.0,261376.33333333334,265148.0,17.0,17.0,17.0,0.0,0.0,0.0
xor_8,10000.0,10000.0,10000.0,12.0,12.0,12.0,Many Sequential Memetic,0.0,1.0,2.0,0.484375,0.48567699999999997,0.488281,1500012.0,1540012.0,1560012.0,384003072.0,394243072.0,399363072.0,5904.0,6408.666666666667,6943.0,23.0,23.666666666666668,24.0,0.0,0.0,0.0
xor_8,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Memetic,0.0,1.0,2.0,0.449219,0.45182300000000003,0.453125,1030002.0,1030002.0,1030002.0,263680512.0,263680512.0,263680512.0,4476.0,4676.666666666667,4944.0,17.0,17.0,17.0,0.0,0.0,0.0
xor_8,10000.0,10000.0,10000.0,12.0,12.0,12.0,Parallel Random Walk,0.0,1.0,2.0,0.484375,0.48567699999999997,0.488281,1000002.0,1000002.0,1000002.0,256000512.0,256000512.0,256000512.0,4267.0,4587.666666666667,4925.0,99.0,99.0,99.0,0.0,0.0,0.0
xor_8,10000.0,10000.0,10000.0,12.0,12.0,12.0,Sequential Memetic,0.0,1.0,2.0,0.445312,0.45442699999999997,0.460938,1030002.0,1030002.0,1030002.0,263680512.0,263680512.0,263680512.0,5840.0,5868.333333333333,5917.0,17.0,17.0,17.0,0.0,0.0,0.0
