File Name,Objective Function Calls,Threads,Algorithm Name,Iterations,Best Score,Num Objective Calls,Num Hash Calls,Total Time (ms),Iterations,Restarts
xor_64,10000,12,Many Sequential Memetic,1,0.500216,1560012,1610022912,70186,24,0
xor_64,10000,12,Many Sequential Memetic,2,0.499778,1560012,1610022912,70375,24,0
xor_64,10000,12,Parallel Memetic,0,0.499712,1030002,1056817152,58453,17,0
xor_64,10000,12,Parallel Memetic,1,0.499744,1030002,1056817152,60277,17,0
xor_64,10000,12,Parallel Memetic,2,0.499623,1030002,1056817152,61168,17,0
xor_64,10000,12,Parallel Random Walk,0,0.499762,1000002,1026097152,62859,99,0
xor_64,10000,12,Parallel Random Walk,1,0.499779,1000002,1026097152,65298,99,0
xor_64,10000,12,Parallel Random Walk,2,0.499777,1000002,1026097152,65484,99,0
xor_64,10000,12,Sequential Memetic,0,0.499792,1030002,1056817152,262379,17,0
xor_64,10000,12,Sequential Memetic,1,0.50023,1030002,1056817152,256602,17,0
xor_64,10000,12,Sequential Memetic,2,0.499918,1030002,1056817152,265148,17,0
xor_8,10000,12,Many Sequential Memetic,0,0.484375,1560012,399363072,6379,24,0
xor_8,10000,12,Many Sequential Memetic,1,0.488281,1500012,384003072,5904,23,0
xor_8,10000,12,Many Sequential Memetic,2,0.484375,1560012,399363072,6943,24,0
xor_8,10000,12,Parallel Memetic,0,0.453125,1030002,263680512,4610,17,0
xor_8,10000,12,Parallel Memetic,1,0.449219,1030002,263680512,4476,17,0
xor_8,10000,12,Parallel Memetic,2,0.453125,1030002,263680512,4944,17,0
xor_8,10000,12,Parallel Random Walk,0,0.488281,1000002,256000512,4571,99,0
xor_8,10000,12,Parallel Random Walk,1,0.484375,1000002,256000512,4267,99,0
xor_8,10000,12,Parallel Random Walk,2,0.484375,1000002,256000512,4925,99,0
xor_8,10000,12,Sequential Memetic,0,0.457031,1030002,263680512,5840,17,0
xor_8,10000,12,Sequential Memetic,1,0.460938,1030002,263680512,5917,17,0
xor_8,10000,12,Sequential Memetic,2,0.445312,1030002,263680512,5848,17,0
